,index_bug,valid,type,issue,module,commit,parent,testcase,has_test_annotation,description,tag_parent,tag_commit
197,197,True,Regression,TIKA-2047,tika-parsers,415381212291e843e9091f43f6db8c432eb02aa9,cc6f6dcc8fed2826ae8093b7a4aed0ddee74dc40,org.apache.tika.parser.txt.TXTParserTest#testCharsetDetectionWithShortSnipet,True,,1.13,1.13
198,198,True,Regression,TIKA-2048,tika-parsers,85e53850026aadce49bc99c1ef2de9d5c7be0451,71cb9363c07839e68712edde4626d53aa928cc2a,org.apache.tika.parser.microsoft.xml.XML2003ParserTest#testBasicWord,True,,1.13,1.13
199,199,True,Delta,TIKA-2055,tika-parsers,27b9cf566da9772961b2fac3c2aa6cc1648ab2a5,80efc84b675c8defa5e86b01b85e1dabc84d32f5,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testLongForIntExceptionInSummaryDetails,True,,1.13,1.13
200,200,True,Delta,TIKA-2064,tika-parsers,2222fe0ce2e1db633bdcf49bd7b24941374f2033,3c0abc8ebebbaa54a716fbcd15eaf8057343842f,org.apache.tika.mime.TestMimeTypes#testStataDTA,True,,1.13,1.13
201,201,True,Regression,TIKA-2078,tika-parsers,80efc84b675c8defa5e86b01b85e1dabc84d32f5,52be682634f3c07e237f7f73b28e94c048563d5b,org.apache.tika.parser.microsoft.WordParserTest#testControlCharacter,True,,1.13,1.13
202,202,True,Delta,TIKA-2078,tika-parsers,80efc84b675c8defa5e86b01b85e1dabc84d32f5,52be682634f3c07e237f7f73b28e94c048563d5b,org.apache.tika.parser.microsoft.WordParserTest#testBoldHyperlink,True,,1.13,1.13
203,203,True,Delta,TIKA-2078,tika-parsers,80efc84b675c8defa5e86b01b85e1dabc84d32f5,52be682634f3c07e237f7f73b28e94c048563d5b,org.apache.tika.parser.microsoft.ooxml.OOXMLParserTest#testBoldHyperlink,True,,1.13,1.13
204,204,True,Regression,TIKA-2089,tika-parsers,95c515db2f303db049c79a7bd0c260ec559186b1,7fd5bd743ab5a242e9c3225f5af6b48235a18455,org.apache.tika.parser.microsoft.PowerPointParserTest#testMacros,True,,1.15,1.15
205,205,True,Delta,TIKA-2100,tika-parsers,7536ed91afd9a3fe744464e34f95f3108c6bd5a2,e24e6afb1c2a37be266839767115ad6adc5f8dcf,org.apache.tika.parser.html.HtmlParserTest#testHtmlLanguage,True,,1.17,1.17
206,206,True,Regression,TIKA-2111,tika-parsers,15a92302501d5ee6a319442c8109eafe37ec4595,011f33807e7e794c2c06154774ec167b818930f2,org.apache.tika.parser.executable.ExecutableParserTest#testWin32Parser,True,,1.14,1.14
